Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-04-13,110.8,112.34,110.8,112.0192,32264823.0,0.0,1.0,110.8,112.34,110.8,112.0192,32264823.0
2016-04-12,109.34,110.5,108.66,110.44,27232325.0,0.0,1.0,109.34,110.5,108.66,110.44,27232325.0
2016-04-11,108.97,110.61,108.83,109.02,29407518.0,0.0,1.0,108.97,110.61,108.83,109.02,29407518.0
2016-04-08,108.91,109.77,108.17,108.66,23581740.0,0.0,1.0,108.91,109.77,108.17,108.66,23581740.0
2016-04-07,109.95,110.42,108.121,108.54,31801870.0,0.0,1.0,109.95,110.42,108.121,108.54,31801870.0
2016-04-06,110.23,110.98,109.2,110.96,26404077.0,0.0,1.0,110.23,110.98,109.2,110.96,26404077.0
2016-04-05,109.51,110.73,109.42,109.81,26578652.0,0.0,1.0,109.51,110.73,109.42,109.81,26578652.0
2016-04-04,110.42,112.19,110.27,111.12,37356204.0,0.0,1.0,110.42,112.19,110.27,111.12,37356204.0
2016-04-01,108.78,110.0,108.2,109.99,25873950.0,0.0,1.0,108.78,110.0,108.2,109.99,25873950.0
2016-03-31,109.72,109.9,108.88,108.99,25888449.0,0.0,1.0,109.72,109.9,108.88,108.99,25888449.0
2016-03-30,108.65,110.42,108.6,109.56,45601149.0,0.0,1.0,108.65,110.42,108.6,109.56,45601149.0
2016-03-29,104.89,107.79,104.88,107.68,31190083.0,0.0,1.0,104.89,107.79,104.88,107.68,31190083.0
2016-03-28,106.0,106.19,105.06,105.19,19411372.0,0.0,1.0,106.0,106.19,105.06,105.19,19411372.0
2016-03-24,105.47,106.25,104.89,105.67,26132955.0,0.0,1.0,105.47,106.25,104.89,105.67,26132955.0
2016-03-23,106.48,107.07,105.9,106.13,25703495.0,0.0,1.0,106.48,107.07,105.9,106.13,25703495.0
2016-03-22,105.25,107.29,105.21,106.72,32444375.0,0.0,1.0,105.25,107.29,105.21,106.72,32444375.0
2016-03-21,105.93,107.65,105.1401,105.91,35502678.0,0.0,1.0,105.93,107.65,105.1401,105.91,35502678.0
2016-03-18,106.34,106.5,105.19,105.92,44205171.0,0.0,1.0,106.34,106.5,105.19,105.92,44205171.0
2016-03-17,105.52,106.47,104.96,105.8,34420705.0,0.0,1.0,105.52,106.47,104.96,105.8,34420705.0
2016-03-16,104.61,106.31,104.59,105.97,38303493.0,0.0,1.0,104.61,106.31,104.59,105.97,38303493.0
2016-03-15,103.96,105.18,103.85,104.58,40067734.0,0.0,1.0,103.96,105.18,103.85,104.58,40067734.0
2016-03-14,101.91,102.91,101.78,102.52,25076062.0,0.0,1.0,101.91,102.91,101.78,102.52,25076062.0
2016-03-11,102.24,102.28,101.5,102.26,27408237.0,0.0,1.0,102.24,102.28,101.5,102.26,27408237.0
2016-03-10,101.41,102.24,100.15,101.17,33513577.0,0.0,1.0,101.41,102.24,100.15,101.17,33513577.0
2016-03-09,101.31,101.58,100.27,101.12,27201683.0,0.0,1.0,101.31,101.58,100.27,101.12,27201683.0
2016-03-08,100.78,101.76,100.4,101.03,31182194.0,0.0,1.0,100.78,101.76,100.4,101.03,31182194.0
2016-03-07,102.39,102.83,100.96,101.87,35915810.0,0.0,1.0,102.39,102.83,100.96,101.87,35915810.0
2016-03-04,102.37,103.75,101.37,103.01,46055100.0,0.0,1.0,102.37,103.75,101.37,103.01,46055100.0
2016-03-03,100.58,101.7099,100.45,101.5,36955742.0,0.0,1.0,100.58,101.7099,100.45,101.5,36955742.0
2016-03-02,100.51,100.89,99.64,100.75,33169560.0,0.0,1.0,100.51,100.89,99.64,100.75,33169560.0
2016-03-01,97.65,100.77,97.42,100.53,50407147.0,0.0,1.0,97.65,100.77,97.42,100.53,50407147.0
2016-02-29,96.86,98.23,96.65,96.69,35216277.0,0.0,1.0,96.86,98.23,96.65,96.69,35216277.0
2016-02-26,97.2,98.0237,96.58,96.91,28991131.0,0.0,1.0,97.2,98.0237,96.58,96.91,28991131.0
2016-02-25,96.05,96.76,95.25,96.76,27582659.0,0.0,1.0,96.05,96.76,95.25,96.76,27582659.0
2016-02-24,93.98,96.38,93.32,96.1,36255745.0,0.0,1.0,93.98,96.38,93.32,96.1,36255745.0
2016-02-23,96.4,96.5,94.55,94.69,31942633.0,0.0,1.0,96.4,96.5,94.55,94.69,31942633.0
2016-02-22,96.31,96.9,95.92,96.88,34280758.0,0.0,1.0,96.31,96.9,95.92,96.88,34280758.0
2016-02-19,96.0,96.7599,95.8,96.04,35374173.0,0.0,1.0,96.0,96.7599,95.8,96.04,35374173.0
2016-02-18,98.84,98.89,96.091,96.26,39020983.0,0.0,1.0,98.84,98.89,96.091,96.26,39020983.0
2016-02-17,96.67,98.21,96.15,98.12,44863243.0,0.0,1.0,96.67,98.21,96.15,98.12,44863243.0
2016-02-16,95.02,96.85,94.61,96.64,49057916.0,0.0,1.0,95.02,96.85,94.61,96.64,49057916.0
2016-02-12,94.19,94.5,93.01,93.99,40351381.0,0.0,1.0,94.19,94.5,93.01,93.99,40351381.0
2016-02-11,93.79,94.72,92.59,93.7,50074711.0,0.0,1.0,93.79,94.72,92.59,93.7,50074711.0
2016-02-10,95.92,96.35,94.1,94.27,42343601.0,0.0,1.0,95.92,96.35,94.1,94.27,42343601.0
2016-02-09,94.29,95.94,93.93,94.99,44331195.0,0.0,1.0,94.29,95.94,93.93,94.99,44331195.0
2016-02-08,93.13,95.7,93.04,95.01,54021375.0,0.0,1.0,93.13,95.7,93.04,95.01,54021375.0
2016-02-05,96.52,96.92,93.69,94.02,46418064.0,0.0,1.0,96.52,96.92,93.69,94.02,46418064.0
2016-02-04,95.86,97.33,95.19,96.6,46471652.0,0.52,1.0,95.86,97.33,95.19,96.6,46471652.0
2016-02-03,95.0,96.84,94.08,96.35,45964294.0,0.0,1.0,94.49135090609556,96.32149917627677,93.57627677100494,95.83412273476112,45964294.0
2016-02-02,95.42,96.04,94.28,94.48,37357215.0,0.0,1.0,94.9091021416804,95.52578253706756,93.77520593080726,93.97413509060956,37357215.0
2016-02-01,96.47,96.71,95.4,96.43,40943541.0,0.0,1.0,95.95348023064251,96.19219522240527,94.88920922570017,95.91369439868205,40943541.0
2016-01-29,94.79,97.34,94.35,97.34,64416504.0,0.0,1.0,94.28247528830315,96.81882207578255,93.84483113673805,96.81882207578255,64416504.0
2016-01-28,93.79,94.52,92.39,94.09,55678825.0,0.0,1.0,93.28782948929161,94.01392092257002,91.89532537067545,93.58622322899507,55678825.0
2016-01-27,96.04,96.6289,93.34,93.42,133369674.0,0.0,1.0,95.52578253706756,96.11152944810544,92.84023887973642,92.91981054365733,133369674.0
2016-01-26,99.93,100.88,98.07,99.99,75077002.0,0.0,1.0,99.39495469522241,100.33986820428336,97.54491350906095,99.45463344316309,75077002.0
2016-01-25,101.52,101.53,99.21,99.44,51794525.0,0.0,1.0,100.97644151565073,100.98638797364086,98.6788097199341,98.90757825370676,51794525.0
2016-01-22,98.63,101.46,98.37,101.42,65800467.0,0.0,1.0,98.10191515650742,100.91676276771004,97.84330724876442,100.8769769357496,65800467.0
2016-01-21,97.06,97.88,94.94,96.3,52161463.0,0.0,1.0,96.54032125205931,97.35593080724877,94.43167215815487,95.78439044481054,52161463.0
2016-01-20,95.1,98.1897,93.42,96.79,72334416.0,0.0,1.0,94.5908154859967,97.66397261120264,92.91981054365733,96.2717668863262,72334416.0
2016-01-19,98.41,98.65,95.5,96.66,53087747.0,0.0,1.0,97.88309308072488,98.12180807248765,94.98867380560132,96.14246293245469,53087747.0
2016-01-15,96.2,97.71,95.36,97.13,79833891.0,0.0,1.0,95.6849258649094,97.1868410214168,94.84942339373971,96.60994645799012,79833891.0
2016-01-14,97.96,100.48,95.74,99.52,63170127.0,0.0,1.0,97.43550247116968,99.94200988467875,95.22738879736409,98.98714991762768,63170127.0
2016-01-13,100.32,101.19,97.3,97.39,62439631.0,0.0,1.0,99.7828665568369,100.64820840197693,96.77903624382208,96.86855436573312,62439631.0
2016-01-12,100.55,100.69,98.8399,99.96,49154227.0,0.0,1.0,100.01163509060956,100.15088550247117,98.31069130971994,99.42479406919274,49154227.0
2016-01-11,98.97,99.06,97.34,98.53,49739377.0,0.0,1.0,98.44009472817133,98.52961285008237,96.81882207578255,98.00245057660626,49739377.0
2016-01-08,98.55,99.11,96.76,96.96,70798016.0,0.0,1.0,98.02234349258649,98.57934514003296,96.24192751235586,96.44085667215815,70798016.0
2016-01-07,98.68,100.13,96.43,96.45,81094428.0,0.0,1.0,98.151647446458,99.59388385502471,95.91369439868205,95.93358731466228,81094428.0
2016-01-06,100.56,102.37,99.87,100.7,68457388.0,0.0,1.0,100.02158154859967,101.82189044481055,99.33527594728172,100.1608319604613,68457388.0
2016-01-05,105.75,105.85,102.41,102.71,55790992.0,0.0,1.0,105.18379324546953,105.28325782537067,101.86167627677101,102.16007001647446,55790992.0
2016-01-04,102.61,105.368,102.0,105.35,67649387.0,0.0,1.0,102.06060543657331,104.80383855024712,101.45387149917629,104.78593492586491,67649387.0
2015-12-31,107.01,107.03,104.82,105.26,40912316.0,0.0,1.0,106.43704695222407,106.45693986820429,104.2587726523888,104.69641680395388,40912316.0
2015-12-30,108.58,108.7,107.18,107.32,25213777.0,0.0,1.0,107.99864085667215,108.11799835255354,106.60613673805602,106.74538714991762,25213777.0
2015-12-29,106.96,109.43,106.86,108.74,30931243.0,0.0,1.0,106.38731466227347,108.84408978583197,106.28785008237233,108.157784184514,30931243.0
2015-12-28,107.59,107.69,106.1807,106.82,26704210.0,0.0,1.0,107.01394151565074,107.1134060955519,105.6121871911038,106.24806425041186,26704210.0
2015-12-24,109.0,109.0,107.95,108.03,13596680.0,0.0,1.0,108.416392092257,108.416392092257,107.3720140032949,107.45158566721582,13596680.0
2015-12-23,107.27,108.85,107.2,108.61,32657354.0,0.0,1.0,106.69565485996705,108.26719522240526,106.62602965403624,108.0284802306425,32657354.0
2015-12-22,107.4,107.72,106.451,107.23,32789367.0,0.0,1.0,106.82495881383856,107.14324546952224,105.88103995057661,106.65586902800659,32789367.0
2015-12-21,107.28,107.37,105.57,107.33,47590610.0,0.0,1.0,106.70560131795717,106.79511943986822,105.00475700164745,106.75533360790774,47590610.0
2015-12-18,108.91,109.52,105.81,106.03,96453327.0,0.0,1.0,108.32687397034596,108.933607907743,105.24347199341022,105.46229406919275,96453327.0
2015-12-17,112.02,112.25,108.98,108.98,44772827.0,0.0,1.0,111.42022240527183,111.64899093904448,108.39649917627678,108.39649917627678,44772827.0
2015-12-16,111.07,111.99,108.8,111.34,56238467.0,0.0,1.0,110.47530889621088,111.39038303130148,108.2174629324547,110.743863261944,56238467.0
2015-12-15,111.94,112.8,110.35,110.49,53323105.0,0.0,1.0,111.34065074135091,112.19604612850083,109.75916392092257,109.89841433278418,53323105.0
2015-12-14,112.18,112.68,109.79,112.48,65003609.0,0.0,1.0,111.57936573311369,112.07668863261945,109.20216227347612,111.87775947281715,65003609.0
2015-12-11,115.19,115.39,112.851,113.18,46886161.0,0.0,1.0,114.57324958813838,114.7721787479407,112.24677306425042,112.57401153212521,46886161.0
2015-12-10,116.04,116.94,115.51,116.17,29212727.0,0.0,1.0,115.4186985172982,116.31387973640857,114.89153624382209,115.5480024711697,29212727.0
2015-12-09,117.64,117.69,115.08,115.62,46361357.0,0.0,1.0,117.01013179571665,117.05986408566721,114.46383855024712,115.00094728171335,46361357.0
2015-12-08,117.52,118.6,116.86,118.23,34309450.0,0.0,1.0,116.89077429983526,117.96499176276771,116.23430807248765,117.59697281713345,34309450.0
2015-12-07,118.98,119.86,117.81,118.28,32084249.0,0.0,1.0,118.3429571663921,119.21824546952224,117.1792215815486,117.64670510708403,32084249.0
2015-12-04,115.29,119.25,115.11,119.03,57776977.0,0.0,1.0,114.67271416803955,118.6115115321252,114.49367792421747,118.39268945634268,57776977.0
2015-12-03,116.55,116.79,114.22,115.2,41569509.0,0.0,1.0,115.92596787479407,116.16468286655684,113.6084431630972,114.5831960461285,41569509.0
2015-12-02,117.05,118.11,116.08,116.28,33386563.0,0.0,1.0,116.42329077429984,117.47761532125206,115.45848434925865,115.65741350906096,33386563.0
2015-12-01,118.75,118.81,116.86,117.34,34852374.0,0.0,1.0,118.11418863261945,118.17386738056014,116.23430807248765,116.71173805601319,34852374.0
2015-11-30,117.99,119.41,117.75,118.3,39180322.0,0.0,1.0,117.35825782537067,118.77065485996705,117.11954283360791,117.66659802306425,39180322.0
2015-11-27,118.29,118.41,117.6,117.81,13046445.0,0.0,1.0,117.65665156507414,117.77600906095552,116.97034596375617,117.1792215815486,13046445.0
2015-11-25,119.21,119.23,117.92,118.03,21388308.0,0.0,1.0,118.57172570016475,118.59161861614498,117.28863261943988,117.39804365733114,21388308.0
2015-11-24,117.33,119.35,117.12,118.88,42803172.0,0.0,1.0,116.70179159802306,118.71097611202636,116.49291598023065,118.24349258649094,42803172.0
